10000,,,,,,,,,,,,,,,,,,,,,,,
No.,Channel Reserved,,Dropped Call,,Blocked Call,Channel Reserved,,Dropped Call,,Blocked Call,,,,,,,,,,,,,
0,0,0.0052,52,0.003,30,1,0.0029,29,0.0103,103,37.7294,,,,,,,,,,,,
1,0,0.0067,67,0.005,50,1,0.0038,38,0.0121,121,61.3324,,,,Scheme,average No. of dropped call,average No. of blocked call,standard deviation of No. of dropped call,standard deviation of No. of blocked call,average % of dropped call rate,average % of blocked call rate,"standard
deviation
% Drop Call
Rate","standard
deviation
% Block Call
Rate"
235,0,0.006,60,0.0031,31,1,0.0026,26,0.0104,104,,,,,,,,,,,,,
236,0,0.0049,49,0.0038,38,1,0.0021,21,0.0122,122,,,,,,,,,,,,,
237,0,0.0052,52,0.004,40,1,0.0021,21,0.012,120,,,,,,,,,,,,,
238,0,0.0057,57,0.0031,31,1,0.0028,28,0.0104,104,,,,,,,,,,,,,
239,0,0.006,60,0.0036,36,1,0.0031,31,0.0109,109,,,,,,,,,,,,,
240,0,0.0055,55,0.0025,25,1,0.0026,26,0.0096,96,,,,,,,,,,,,,
241,0,0.0066,66,0.004,40,1,0.003,30,0.0126,126,,,,,,,,,,,,,
242,0,0.005,50,0.0038,38,1,0.0024,24,0.012,120,,,,,,,,,,,,,
243,0,0.0063,63,0.004,40,1,0.0028,28,0.0124,124,,,,,,,,,,,,,
244,0,0.0071,71,0.0043,43,1,0.0038,38,0.0113,113,,,,,,,,,,,,,
245,0,0.0057,57,0.0035,35,1,0.0035,35,0.0104,104,,,,,,,,,,,,,
246,0,0.0054,54,0.0034,34,1,0.003,30,0.0108,108,,,,,,,,,,,,,
247,0,0.007,70,0.0028,28,1,0.0036,36,0.0104,104,,,,,,,,,,,,,
248,0,0.0056,56,0.0042,42,1,0.0031,31,0.0121,121,,,,,,,,,,,,,
249,0,0.006,60,0.0045,45,1,0.0039,39,0.0124,124,,,,,,,,,,,,,
250,0,0.0056,56,0.0033,33,1,0.0024,24,0.0114,114,,,,,,,,,,,,,
251,0,0.0045,45,0.0036,36,1,0.002,20,0.0109,109,,,,,,,,,,,,,
252,0,0.0051,51,0.0034,34,1,0.0026,26,0.0107,107,,,,,,,,,,,,,
253,0,0.0059,59,0.003,30,1,0.0026,26,0.0101,101,,,,,,,,,,,,,
254,0,0.0056,56,0.0039,39,1,0.0027,27,0.0107,107,,,,,,,,,,,,,
